#{"t_start": 1749399986.2705758, "env_id": "None"}
r,l,t
2181.69,400,2.486742
-1212.92,400,3.222508
1847.73,400,4.274492
-1238.35,400,5.412758
1932.6,400,6.208402
1847.69,400,9.241452
1556.33,400,10.019562
1861.37,400,11.035285
1657.18,400,11.84727
1746.89,400,12.801633
1362.66,400,15.120896
719.27,400,16.100229
1759.36,400,17.23777
1966.9,400,18.457641
823.37,400,19.74125
1871.22,400,22.76187
2168.43,400,23.551057
2037.9,400,24.410249
2022.91,400,25.332981
1879.51,400,26.052034
1894.99,400,27.879299
-1674.88,400,28.753166
1773.86,400,29.589045
2016.32,400,30.349842
612.38,400,31.308329
2178.23,400,33.488336
1556.1,400,34.480245
1558.43,400,35.677725
1768.71,400,36.806134
1095.65,400,37.593866
1982.19,400,39.544792
-2638.82,400,40.434852
-1904.37,400,41.329773
2216.91,400,42.305778
2125.79,400,43.238539
1859.11,400,45.523906
1382.38,400,46.25778
-1.07,400,47.092924
2285.82,400,47.857884
2321.27,400,48.891669
-1529.91,400,51.192772
1848.09,400,51.945318
2283.83,400,52.855634
1740.75,400,53.905793
-732.39,400,54.762778
-22.11,400,55.583625
2181.51,400,58.149184
2151.32,400,59.115714
1485.05,400,60.087921
2147.12,400,61.035845
784.82,400,61.89583
2201.72,400,64.391595
2075.24,400,65.100728
1897.07,400,66.149503
2144.33,400,67.229708
1333.34,400,67.865451
2034.7,400,69.863431
1471.1,400,70.602484
2301.42,400,71.496565
1764.01,400,72.19239
-949.21,400,73.143135
103.14,400,75.499511
2168.49,400,76.478722
1718.84,400,77.37637
2139.8,400,78.19036
1594.9,400,78.934337
-1205.43,400,80.930164
1544.71,400,81.664478
900.79,400,82.355354
1824.33,400,83.145335
939.89,400,83.998428
1588.89,400,86.34653
1831.34,400,87.047531
2428.1,400,87.779148
1794.04,400,88.458479
2141.39,400,89.356761
2456.31,400,91.485249
609.36,400,92.064272
1018.59,400,92.838267
636.31,400,93.634085
2767.38,400,94.391215
1641.65,400,96.63441
2318.06,400,97.686867
2406.26,400,98.623072
1986.32,400,99.372115
-547.68,400,100.285971
2245.71,400,101.062927
2173.54,400,103.471858
2166.94,400,104.174129
2402.99,400,104.927842
2435.29,400,105.816041
921.33,400,106.622943
1456.34,400,108.70326
2445.43,400,109.425165
2509.67,400,110.167831
1780.99,400,110.933227
2112.36,400,111.858851
2327.74,400,113.774958
1535.64,400,114.737681
779.7,400,115.790642
1976.29,400,116.799999
2411.1,400,117.598532
1304.42,400,119.763923
396.8,400,120.623948
2085.92,400,121.344849
2707.64,400,122.027667
2303.59,400,122.950706
1656.49,400,125.053555
1785.5,400,125.841022
2286.49,400,126.397609
2577.86,400,127.245028
1675.89,400,128.258926
820.64,400,130.292941
1952.26,400,130.925924
2203.58,400,131.713625
1248.22,400,132.468674
2722.67,400,133.252556
2296.21,400,135.132656
-18.45,400,135.966342
1753.12,400,136.710689
2017.49,400,137.389585
2244.94,400,138.339415
1858.23,400,141.163845
1612.1,400,142.395105
2515.4,400,143.210492
760.36,400,144.095737
2410.37,400,145.065875
2227.73,400,145.960517
