time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/entropy_loss,train/n_updates,train/value_loss,train/approx_kl,train/loss,train/explained_variance
2048,400.0,702.15,1,3,572,,,,,,,,,,
4096,400.0,1218.021,2,8,504,-0.0031221738368913065,0.0138671875,0.2,0.0003,-0.6887765185907483,10,9671.071900939942,0.005320788,3830.86572265625,-0.0038700103759765625
6144,400.0,1254.118,3,13,470,-0.011332098454295192,0.11044921875,0.2,0.0003,-0.6918339958414436,20,4353.937084197998,0.009739,1408.9681396484375,0.06568431854248047
8192,400.0,1439.587,4,17,475,-0.001030630141030997,0.0,0.2,0.0003,-0.6917513674125075,30,5008.296634674072,0.0038016862,2664.154296875,0.03890430927276611
10240,400.0,1336.5764,5,21,469,-0.012330402918451,0.130517578125,0.2,0.0003,-0.6871871586889029,40,5610.105319213867,0.008069805,2498.92041015625,0.003474891185760498
12288,400.0,1385.7176666666667,6,27,446,-0.003305389724846464,0.026123046875,0.2,0.0003,-0.6859005384147168,50,7405.741348266602,0.004895049,3322.766357421875,0.048461198806762695
14336,400.0,1238.6637142857144,7,32,440,-0.005460582613886799,0.067041015625,0.2,0.0003,-0.6787133473902941,60,3862.0234771728515,0.008210106,1557.7630615234375,0.3913538455963135
16384,400.0,1280.0185000000001,8,37,439,-0.000889189331792295,0.0,0.2,0.0003,-0.675273821875453,70,11473.201390075683,0.0018115031,6826.9892578125,0.4029041528701782
18432,400.0,1191.0652173913043,9,42,434,6.376379824359901e-05,0.0,0.2,0.0003,-0.6744503326714039,80,5782.286549377442,0.0014246287,1706.6405029296875,0.5661144852638245
20480,400.0,1245.8592156862746,10,47,430,-0.0006988702662056312,0.015185546875,0.2,0.0003,-0.667681391350925,90,5126.714939117432,0.0048409216,1882.236328125,0.5968603789806366
22528,400.0,1306.9735714285712,11,52,427,-0.0007727373180387076,0.0,0.2,0.0003,-0.6481057913973928,100,5641.997992706299,0.0015023043,2537.733154296875,0.5826275050640106
24576,400.0,1308.402295081967,12,57,428,-0.003972620799322613,0.004345703125,0.2,0.0003,-0.6202121013775468,110,5776.4579055786135,0.007584144,2740.84228515625,0.4619332551956177
26624,400.0,1326.3289393939394,13,62,428,-0.0038276541810773777,0.02373046875,0.2,0.0003,-0.6168075146153569,120,6225.5936630249025,0.0030623188,3107.158935546875,0.5916876494884491
28672,400.0,1289.323943661972,14,67,425,-0.006938475235074293,0.016748046875,0.2,0.0003,-0.5990279637277126,130,7103.368298339844,0.0033522178,4208.77392578125,0.6102860569953918
30720,400.0,1333.2336842105265,15,72,424,-0.000987254512438085,0.001513671875,0.2,0.0003,-0.594485387019813,140,5065.202583312988,0.0019462483,2490.934326171875,0.7090295553207397
32768,400.0,1343.3791358024691,16,77,425,-0.006185186462244019,0.0853515625,0.2,0.0003,-0.5383083548396825,150,5863.721752929688,0.0093258545,2443.848876953125,0.5201700031757355
34816,400.0,1366.2532183908045,17,81,426,-0.0018720857849984895,0.008837890625,0.2,0.0003,-0.546776837296784,160,5760.817010498047,0.002326182,2641.800048828125,0.6514139473438263
36864,400.0,1401.7839130434784,18,86,426,4.694778908742592e-05,0.00126953125,0.2,0.0003,-0.5171161520294845,170,5399.601894378662,0.0008547808,2335.3916015625,0.7280897498130798
38912,400.0,1435.7619587628863,19,91,427,0.0002834315208019689,0.022412109375,0.2,0.0003,-0.501073526032269,180,5662.305389404297,0.0017442871,2551.73828125,0.6723519265651703
40960,400.0,1473.3061000000005,20,96,425,-0.001646023482317105,0.0373046875,0.2,0.0003,-0.4881470280699432,190,5595.712947082519,0.0030986671,2277.82470703125,0.581289142370224
43008,400.0,1501.8297999999998,21,102,421,-0.005023890463053249,0.030078125,0.2,0.0003,-0.5239583648741245,200,4907.151795959473,0.004682553,2485.309326171875,0.6204560697078705
45056,400.0,1528.1783999999998,22,107,418,7.30978834326379e-05,0.003173828125,0.2,0.0003,-0.5151944257318973,210,5588.830589294434,0.00024480448,2517.34033203125,0.6854828894138336
47104,400.0,1531.7593000000002,23,113,413,-0.0013448999103275127,0.0013671875,0.2,0.0003,-0.4987369000911713,220,5503.471620178223,0.002459609,2393.93408203125,0.6162737309932709
49152,400.0,1553.0880999999997,24,119,409,-0.0017696835806418677,0.032568359375,0.2,0.0003,-0.45873841606080534,230,5438.0233375549315,0.005187233,2978.358642578125,0.661474734544754
51200,400.0,1569.9767999999997,25,124,410,-0.0015766234762850217,0.00849609375,0.2,0.0003,-0.477990182582289,240,4361.885467529297,0.002398027,2677.056396484375,0.7753292620182037
