#{"t_start": 1740395242.0576892, "env_id": "RouterEnv-v0"}
r,l,t
-191.16,400,0.733862
150.6,400,1.368858
181.9,400,1.885149
156.7,400,2.479811
166.1,400,3.094325
186.3,400,4.543133
173.8,400,5.141135
204.4,400,5.885264
194.3,400,6.488377
212.5,400,7.108378
232.9,400,8.711797
247.1,400,9.408798
245.5,400,10.161477
255.8,400,10.729475
342.26,400,11.434477
201.4,400,12.690694
271.6,400,13.293694
289.2,400,13.765697
288.1,400,14.278134
265.4,400,14.900136
306.6,400,16.146141
359.72,400,16.815761
319.6,400,17.30876
322.8,400,17.908761
282.7,400,18.69856
305.7,400,20.149033
304.1,400,20.776936
324.9,400,21.411936
309.0,400,22.008069
298.2,400,22.931805
313.6,400,24.540293
325.2,400,25.203211
337.3,400,25.832213
260.64,400,26.474213
332.0,400,27.104212
299.4,400,28.770034
295.1,400,29.842797
49.72,400,30.618798
342.6,400,31.199799
334.9,400,31.834437
321.2,400,33.575584
356.9,400,34.226542
329.1,400,34.850544
344.3,400,35.469543
326.32,400,36.076544
424.36,400,36.683182
348.7,400,38.256182
351.1,400,39.025739
344.1,400,39.70974
328.1,400,40.385738
356.7,400,40.974178
358.6,400,42.37718
376.8,400,43.000097
381.2,400,43.578096
377.9,400,44.133099
359.8,400,44.787107
420.68,400,46.521223
374.7,400,47.108231
943.02,400,47.717393
355.9,400,48.377391
350.0,400,48.989107
378.0,400,50.387484
342.8,400,51.034488
343.4,400,51.6403
1231.66,400,52.303836
359.8,400,52.889835
158.44,400,54.453653
366.5,400,55.036658
368.5,400,55.61762
1468.44,400,56.290632
148.4,400,57.00061
360.6,400,58.381403
1784.08,400,59.106583
178.98,400,59.742571
366.3,400,60.322559
299.7,400,61.077963
353.6,400,62.534965
145.44,400,63.209028
174.8,400,63.87003
376.6,400,64.426028
1520.06,400,64.978309
390.0,400,66.267832
342.3,400,66.898831
363.5,400,67.48145
341.0,400,68.076448
348.0,400,68.653803
1257.62,400,69.250587
228.6,400,70.632412
358.6,400,71.210415
333.6,400,71.841626
341.7,400,72.468227
370.9,400,72.978228
375.1,400,74.481187
331.2,400,75.150188
320.2,400,75.889834
354.1,400,76.466834
343.1,400,77.075306
341.2,400,78.602068
373.5,400,79.182069
378.6,400,79.718068
375.6,400,80.306072
353.8,400,80.842069
354.4,400,82.250561
356.7,400,82.907485
346.7,400,83.511483
874.12,400,84.043486
334.3,400,84.65143
181.5,400,86.065097
391.2,400,86.568096
346.3,400,87.207152
377.1,400,87.750512
343.2,400,88.455513
331.9,400,90.093777
381.2,400,90.665778
392.2,400,91.103777
272.76,400,91.664462
361.7,400,92.364462
361.7,400,93.829159
333.3,400,94.567158
335.3,400,95.225159
349.24,400,95.746653
371.9,400,96.362653
365.9,400,97.912966
369.6,400,98.621067
439.2,400,99.376067
361.8,400,99.964066
319.7,400,100.652076
329.52,400,101.342076
356.2,400,102.820778
345.3,400,103.323778
362.0,400,103.962778
371.3,400,104.552679
1525.36,400,105.078193
157.32,400,106.625182
322.0,400,107.514733
363.6,400,108.147733
374.9,400,108.762733
350.2,400,109.340866
297.7,400,111.001866
387.6,400,111.531594
353.4,400,112.114757
384.3,400,112.706655
372.0,400,113.282271
344.5,400,114.873386
351.3,400,115.543878
348.5,400,116.19171
1521.22,400,116.925712
359.4,400,117.639678
242.18,400,119.190369
228.2,400,119.818368
339.0,400,120.520439
353.8,400,121.107439
371.9,400,121.784439
353.8,400,123.392242
331.5,400,124.086253
323.3,400,124.849501
348.2,400,125.473562
244.62,400,126.033543
314.8,400,127.622528
359.4,400,128.202512
316.9,400,128.90873
342.2,400,129.56559
376.6,400,130.202809
337.1,400,131.635201
368.6,400,132.2062
364.1,400,132.903203
456.9,400,133.544787
295.18,400,134.227786
331.8,400,135.751302
364.2,400,136.383301
502.34,400,137.006302
1502.32,400,137.679885
299.4,400,138.417885
369.4,400,139.032885
372.6,400,140.506096
340.5,400,141.153349
1365.36,400,141.742348
224.06,400,142.355701
347.1,400,143.047701
348.1,400,144.582778
352.1,400,145.240778
344.0,400,145.905778
180.82,400,146.611325
320.5,400,147.300326
233.42,400,148.885386
355.9,400,149.549999
312.0,400,150.246998
172.34,400,150.910164
351.8,400,151.544164
375.5,400,152.996134
370.0,400,153.603317
261.26,400,154.111317
371.7,400,154.77773
369.2,400,155.46187
367.8,400,156.817871
176.72,400,157.475665
381.8,400,158.039053
198.32,400,158.675054
363.2,400,159.275055
360.5,400,160.69987
370.4,400,161.291871
375.0,400,161.903461
334.6,400,162.575462
392.3,400,163.109461
258.86,400,164.6067
390.0,400,165.124701
366.9,400,165.740702
392.1,400,166.309412
1663.56,400,166.935411
295.92,400,168.358344
381.7,400,168.926714
345.9,400,169.536265
337.88,400,170.142263
373.0,400,170.783897
393.4,400,171.288898
288.46,400,172.808828
331.3,400,173.460829
206.54,400,174.053828
320.5,400,174.755828
346.0,400,175.357066
366.4,400,176.787403
388.9,400,177.305275
357.0,400,177.978275
365.2,400,178.578276
356.84,400,179.242276
1262.42,400,180.835305
483.12,400,181.611306
345.04,400,182.286395
353.4,400,183.002405
361.9,400,183.721406
325.72,400,185.3473
334.06,400,186.05158
420.78,400,186.607624
294.9,400,187.290624
336.72,400,187.881624
367.3,400,189.358981
395.6,400,189.863981
394.4,400,190.368609
250.86,400,190.963229
331.02,400,191.627229
390.6,400,193.05512
426.46,400,193.690118
294.04,400,194.30712
371.8,400,194.903115
263.82,400,195.652114
450.24,400,197.086659
364.6,400,197.868223
398.48,400,198.557231
342.32,400,199.288009
347.04,400,199.971567
