#{"t_start": 1739966399.5965147, "env_id": "None"}
r,l,t
174.5,400,0.950342
136.5,400,1.695318
164.2,400,2.379508
156.1,400,3.147538
151.7,400,3.969833
182.9,400,6.020445
210.2,400,6.748944
209.1,400,7.80292
-2642.44,400,8.56248
209.9,400,9.435817
-1094.22,400,11.533733
247.9,400,12.511621
212.4,400,13.360867
-2591.54,400,14.223895
245.8,400,15.034649
-2655.02,400,16.905773
216.4,400,17.717982
226.4,400,18.428825
224.0,400,19.204306
-912.94,400,19.984445
233.0,400,21.661703
225.7,400,22.437211
237.7,400,23.240037
231.8,400,24.04184
222.9,400,24.831517
214.6,400,26.677882
229.2,400,27.60616
253.1,400,28.507403
243.1,400,29.241151
-935.98,400,30.044224
253.8,400,31.913636
253.6,400,32.627121
268.7,400,33.476063
265.7,400,34.154372
233.9,400,35.017794
-2747.3,400,37.146551
237.7,400,37.867243
244.6,400,38.66281
263.8,400,39.575413
259.1,400,40.17337
233.5,400,42.067127
-1516.76,400,42.841848
263.6,400,43.677843
273.3,400,44.326559
264.1,400,45.089738
278.9,400,45.879351
56.72,400,48.006268
270.8,400,48.842773
-1122.72,400,49.643535
197.5,400,50.422084
255.76,400,51.267319
266.1,400,53.104426
234.8,400,54.029435
274.7,400,54.600868
250.2,400,55.338829
275.8,400,56.181115
234.7,400,58.369748
210.3,400,59.302756
214.6,400,60.140809
225.0,400,60.988693
201.1,400,61.815639
-893.74,400,63.74978
224.2,400,64.499249
-2529.4,400,65.249269
239.3,400,65.975188
222.4,400,66.743739
237.4,400,68.583736
221.7,400,69.373252
215.2,400,70.349801
245.9,400,71.18104
230.5,400,71.98673
258.3,400,73.876549
260.7,400,74.725906
-1693.82,400,75.471406
269.9,400,76.267425
263.6,400,77.150091
266.0,400,79.105086
256.3,400,79.858665
-1943.8,400,80.619094
251.8,400,81.386717
191.74,400,82.247499
-944.98,400,84.315668
263.8,400,85.058789
260.5,400,85.770475
256.8,400,86.621575
227.6,400,87.385249
243.3,400,88.252148
279.3,400,90.371753
273.6,400,91.144106
273.6,400,91.861752
267.4,400,92.660477
262.3,400,93.326864
282.3,400,95.119958
265.3,400,95.9706
196.7,400,96.757593
272.1,400,97.621498
259.5,400,98.444148
292.9,400,100.206402
-49.14,400,100.883672
284.7,400,101.710666
278.3,400,102.481416
280.8,400,103.33127
305.4,400,105.182825
286.5,400,106.040544
290.1,400,106.935164
-394.76,400,107.758299
194.1,400,108.535662
138.1,400,110.52242
280.6,400,111.457824
278.4,400,112.227934
134.3,400,113.243511
288.8,400,114.034931
-84.46,400,115.96378
268.6,400,117.051479
289.8,400,117.903353
290.2,400,118.502516
287.4,400,119.290282
265.4,400,121.40806
292.0,400,122.218457
295.8,400,122.967735
313.5,400,123.609827
283.7,400,124.379974
289.5,400,126.36417
300.7,400,127.171772
220.6,400,127.845661
294.4,400,128.656034
287.5,400,129.523942
171.3,400,130.234534
307.8,400,132.219591
323.0,400,132.966225
323.4,400,133.689633
-132.4,400,134.485689
307.6,400,135.26185
288.4,400,137.327363
313.7,400,138.11525
298.6,400,138.984956
291.6,400,139.897435
190.5,400,140.663115
315.0,400,142.681006
314.9,400,143.537567
311.7,400,144.334168
322.5,400,145.195598
320.9,400,146.029869
323.4,400,147.962097
310.5,400,148.743933
320.8,400,149.49163
165.9,400,150.426425
270.9,400,151.425246
308.8,400,153.600774
310.2,400,154.344879
317.9,400,155.126875
289.0,400,155.946053
276.2,400,156.871515
300.1,400,158.865738
279.8,400,159.69958
302.9,400,160.468413
304.2,400,161.205288
316.1,400,161.987399
314.5,400,163.907448
153.5,400,164.753815
148.0,400,165.615438
313.4,400,166.528337
295.1,400,167.375253
148.9,400,169.309137
329.7,400,170.127149
308.1,400,170.944265
329.7,400,171.692885
320.9,400,172.508154
333.8,400,174.346484
345.4,400,175.093935
309.3,400,175.964578
166.0,400,176.776738
293.4,400,177.683961
327.3,400,178.376257
326.0,400,181.12825
315.7,400,182.200857
299.8,400,183.197795
348.8,400,184.167341
-169.9,400,185.139453
338.5,400,187.651554
343.6,400,188.439243
324.8,400,189.36447
287.3,400,190.38188
347.8,400,191.132318
321.3,400,193.304587
-343.0,400,194.091082
350.8,400,194.875965
324.3,400,195.74234
343.5,400,196.478951
314.9,400,198.676147
328.3,400,199.607242
329.9,400,200.483365
297.7,400,201.42075
332.2,400,202.26703
314.7,400,205.71331
328.7,400,206.857733
359.8,400,207.682161
304.1,400,208.680156
301.1,400,209.526174
180.3,400,211.538383
188.8,400,212.296093
346.2,400,213.005501
322.8,400,213.851522
137.7,400,215.183067
326.5,400,218.249329
325.2,400,219.080334
297.6,400,220.063111
298.3,400,220.875445
321.0,400,221.676337
353.6,400,223.459254
363.9,400,224.145336
323.9,400,225.008074
308.3,400,225.842593
336.9,400,226.552324
314.8,400,227.342004
150.8,400,229.32883
345.9,400,230.150907
322.5,400,230.999097
324.8,400,231.784611
316.3,400,232.649556
328.4,400,234.605195
324.1,400,235.335487
329.8,400,236.063037
234.1,400,236.717924
177.3,400,237.556863
154.9,400,239.670814
297.8,400,240.618435
301.9,400,241.800608
292.9,400,243.160796
326.1,400,244.397466
-71.5,400,246.545001
341.6,400,247.325985
283.0,400,248.234141
213.5,400,249.058013
328.8,400,249.921378
296.4,400,251.926823
300.8,400,252.914506
334.3,400,253.725633
-377.8,400,254.495232
324.1,400,255.348865
328.7,400,258.198974
347.2,400,259.357032
317.6,400,260.517744
329.8,400,261.382353
361.0,400,262.075691
308.3,400,264.213968
313.8,400,265.196115
322.5,400,266.084703
147.3,400,266.951747
167.0,400,267.778391
