time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/loss,train/approx_kl,train/clip_fraction
239,1,164.54000000000002,2048,8,400.0,,,,,,,,,,
215,2,191.23000000000002,4096,19,400.0,10,-0.6780923077836633,21.892259473353626,0.2,0.0003,-0.04375992835412035,-0.0003204345703125,2.713104009628296,0.020255204,0.351953125
218,3,145.00266666666667,6144,28,400.0,20,-0.6366811035200953,18.35039914175868,0.2,0.0003,-0.021587749535683542,0.005794644355773926,5.770210266113281,0.023068894,0.200390625
216,4,76.418,8192,37,400.0,30,-0.6032030070200562,456.63886353969576,0.2,0.0003,-3.6322258529253305e-05,-0.0399090051651001,91.12118530273438,1.9882442e-05,0.0
215,5,112.97039999999997,10240,47,400.0,40,-0.6074066059663892,906.0754561424255,0.2,0.0003,-0.0017954457784071566,0.43634259700775146,424.7214050292969,0.0010516406,0.0
193,6,139.79199999999997,12288,63,400.0,50,-0.607587612606585,24.59469721466303,0.2,0.0003,-0.002452636087400606,0.20019638538360596,14.283662796020508,0.005965123,0.0037109375
194,7,142.67828571428572,14336,73,400.0,60,-0.5727989384904504,50.26274922192097,0.2,0.0003,-0.006580979058344383,0.8459907919168472,16.93212890625,0.0072823754,0.039794921875
188,8,162.1935,16384,86,400.0,70,-0.5774395231157541,105.02649756669999,0.2,0.0003,-0.013627757300127996,0.8626702725887299,39.27928924560547,0.0033365123,0.03486328125
186,9,177.24565217391304,18432,98,400.0,80,-0.48711124882102014,39.81929765641689,0.2,0.0003,-0.003246612365182955,0.027381479740142822,14.763673782348633,0.007995547,0.083447265625
187,10,189.08549019607844,20480,109,400.0,90,-0.5493475031107664,167.57897980213164,0.2,0.0003,-0.009327846673841123,0.7344194054603577,84.18645477294922,0.007991372,0.078125
187,11,194.41714285714284,22528,120,400.0,100,-0.5084906560368836,66.92309198975563,0.2,0.0003,-0.0005766783986473456,0.4061431884765625,29.425233840942383,0.0062342556,0.008935546875
188,12,203.75344262295081,24576,130,400.0,110,-0.5688329109922051,51.56167647242546,0.2,0.0003,-0.0018345940399740357,0.7458308339118958,24.608903884887695,0.011976213,0.04296875
190,13,234.29818181818186,26624,139,400.0,120,-0.4340356858447194,58.33182330727577,0.2,0.0003,-0.001159770117374137,0.20236998796463013,17.90811538696289,0.0049092886,0.020849609375
191,14,246.870985915493,28672,149,400.0,130,-0.4465286781080067,392.3826889514923,0.2,0.0003,-0.006626338396745268,-1.008298397064209,117.19253540039062,0.025702093,0.059423828125
189,15,251.61894736842106,30720,161,400.0,140,-0.4076779224909842,393.16868631839753,0.2,0.0003,-0.002297258444741601,-0.040873050689697266,219.88172912597656,0.005846325,0.061376953125
185,16,254.11160493827163,32768,176,400.0,150,-0.4072250339202583,70.60391618162393,0.2,0.0003,-0.0019304676079627825,-0.00010538101196289062,75.99771881103516,0.006986456,0.10888671875
179,17,259.0981609195403,34816,193,400.0,160,-0.4281175933778286,74.47830731868744,0.2,0.0003,-0.0007836579017748591,0.0030046701431274414,44.930076599121094,0.0062599736,0.039501953125
176,18,263.66021739130434,36864,209,400.0,170,-0.3581251483410597,92.62427796125412,0.2,0.0003,-0.005817427174770273,0.012476861476898193,78.40001678466797,0.0046136207,0.085693359375
174,19,266.93773195876287,38912,223,400.0,180,-0.3037141455803066,79.68709008991718,0.2,0.0003,-0.001511482832574984,0.025585591793060303,64.04993438720703,0.0028590146,0.03046875
173,20,286.11,40960,236,400.0,190,-0.4198447302915156,91.41905456185341,0.2,0.0003,-0.005432614522578661,-0.008041143417358398,33.201622009277344,0.0055084643,0.081640625
173,21,293.7339999999999,43008,247,400.0,200,-0.40926729161292313,479.90122227668763,0.2,0.0003,-0.01572521963098552,-0.058779001235961914,160.41619873046875,0.026201919,0.111962890625
174,22,297.656,45056,258,400.0,210,-0.2946992785204202,102.2826144784689,0.2,0.0003,-0.0028186675990582444,0.0003514885902404785,9.570287704467773,0.0019499493,0.049072265625
175,23,332.40539999999993,47104,268,400.0,220,-0.3480514565482736,101.48725244998931,0.2,0.0003,-0.0030427766061620785,0.0012743473052978516,106.13260650634766,0.0054622637,0.094775390625
177,24,337.2414,49152,277,400.0,230,-0.2525619969703257,97.02616549134254,0.2,0.0003,0.00011838963837362826,0.0008705258369445801,24.566410064697266,0.001502485,0.002783203125
178,25,339.4085999999999,51200,287,400.0,240,-0.24671879573725164,104.93321692943573,0.2,0.0003,-0.0030287959743873216,0.04453396797180176,69.58566284179688,0.0024985117,0.02451171875
178,26,345.2544,53248,298,400.0,250,-0.3744858576916158,175.06375749111174,0.2,0.0003,-0.013498736701149028,0.09362781047821045,34.90813064575195,0.007879114,0.1126953125
179,27,350.2132,55296,308,400.0,260,-0.3378240054473281,85.67001773416996,0.2,0.0003,-4.182117190794088e-05,0.2585739493370056,35.17559051513672,0.0013131726,0.001953125
180,28,357.8672,57344,317,400.0,270,-0.3467835345305502,102.36125087141991,0.2,0.0003,-0.0010791161832457874,0.09164577722549438,35.73747634887695,0.0022072312,0.02490234375
181,29,362.04400000000004,59392,327,400.0,280,-0.28819189574569465,199.49138753414155,0.2,0.0003,-0.008089550497970777,-0.37557947635650635,72.63903045654297,0.012400173,0.064892578125
182,30,366.04600000000005,61440,336,400.0,290,-0.25920530878938736,104.46759300231933,0.2,0.0003,0.00016915283122216352,0.04477566480636597,8.184277534484863,0.0021596048,0.018798828125
183,31,370.13700000000006,63488,346,400.0,300,-0.2115633544046432,104.51646527349949,0.2,0.0003,-0.0004504588068812154,0.007821738719940186,36.24125671386719,0.0032522336,0.032373046875
184,32,377.5449999999999,65536,355,400.0,310,-0.2631757172755897,101.35116916000842,0.2,0.0003,-0.0020999854155888896,0.07576310634613037,27.2877140045166,0.008026885,0.068310546875
184,33,363.4168000000001,67584,366,400.0,320,-0.3273954473435879,427.80049264431,0.2,0.0003,-0.001602153095882386,-0.048465609550476074,168.64443969726562,0.0030081323,0.01572265625
184,34,378.38,69632,377,400.0,330,-0.2730307824909687,115.9767283141613,0.2,0.0003,-0.0031445449632883536,0.026419997215270996,39.16718292236328,0.0041672196,0.065576171875
184,35,386.38399999999996,71680,388,400.0,340,-0.34534334698691965,1019.9946105003357,0.2,0.0003,-0.0007152468228014186,-0.03217113018035889,517.1640014648438,0.0026236179,0.004296875
185,36,403.68019999999996,73728,398,400.0,350,-0.312003685766831,551.4442694187164,0.2,0.0003,0.0005072813728475012,-0.010287284851074219,260.6077575683594,0.0023796617,0.053564453125
183,37,402.98220000000003,75776,412,400.0,360,-0.20943367308937014,964.8555679321289,0.2,0.0003,-0.00039925275996210985,-0.00610804557800293,505.54986572265625,0.0016688446,0.03564453125
182,38,402.36820000000006,77824,427,400.0,370,-0.2844824648462236,159.26673723459243,0.2,0.0003,0.00014854599503451028,0.007305502891540527,32.0734977722168,0.0019053026,0.0064453125
181,39,397.3224000000001,79872,441,400.0,380,-0.29424683121033013,139.8788716942072,0.2,0.0003,-0.0018528498330852017,0.0632706880569458,44.95936584472656,0.0032425246,0.037646484375
180,40,389.67859999999985,81920,453,400.0,390,-0.3056924793869257,129.46959546804428,0.2,0.0003,0.00035527832733350806,0.056153297424316406,118.69840240478516,0.0037841867,0.023486328125
180,41,397.841,83968,464,400.0,400,-0.19843781280796974,123.02909663319588,0.2,0.0003,8.10863963124575e-05,0.02759629487991333,91.58946990966797,0.0026550689,0.018603515625
180,42,399.8959999999999,86016,475,400.0,410,-0.24828310059383513,477.4111743927002,0.2,0.0003,-0.0001858894022007007,-0.06236076354980469,170.5540313720703,0.00084869197,0.00185546875
180,43,400.714,88064,488,400.0,420,-0.2033939158078283,150.23019617199898,0.2,0.0003,0.0004372069590317551,0.02515435218811035,28.707252502441406,0.0017990667,0.014794921875
179,44,400.3960000000001,90112,500,400.0,430,-0.17586229601874948,119.08116193413734,0.2,0.0003,-0.00040680158563191073,0.09055840969085693,66.67537689208984,0.00026110787,0.022216796875
179,45,405.9333999999999,92160,513,400.0,440,-0.16156627754680813,118.66840376555919,0.2,0.0003,-0.0013539119187043979,0.131270170211792,124.47777557373047,0.002115277,0.018017578125
179,46,406.0518,94208,523,400.0,450,-0.16169324796646833,120.53966307640076,0.2,0.0003,-0.0012319262750679627,0.0856248140335083,79.0656967163086,0.004928101,0.034130859375
179,47,406.9562,96256,534,400.0,460,-0.19132970327045767,130.1305783778429,0.2,0.0003,-0.0011366713180905208,0.12177878618240356,94.70862579345703,0.0026242957,0.05625
179,48,402.18440000000004,98304,547,400.0,470,-0.20880950409919025,117.14920336306095,0.2,0.0003,-0.0005198656057473272,0.08973652124404907,19.717721939086914,0.0030240142,0.018408203125
179,49,403.41159999999996,100352,559,400.0,480,-0.1387968320166692,120.26695907711982,0.2,0.0003,-0.0006252413193578831,0.13522720336914062,40.45085144042969,0.0005042117,0.01064453125
